binary_precision,binary_recall,binary_f1,binary_roc_auc,family_accuracy,family_macro_f1,mean_explanation_latency_ms,n_train_windows,n_test_windows,recall_unauthorized_write,recall_replay,recall_sensor_spoofing,recall_recon_scan,recall_dos_flood,seed
1.0,0.8269230769230769,0.9052631578947369,0.9515827994848973,0.9843840370156159,0.9127580290115475,0.01069467880933057,2592,1729,1.0,1.0,0.38095238095238093,1.0,0.875,1000
0.9828571428571429,0.91005291005291,0.945054945054945,0.9785987602751736,0.9884259259259259,0.9538769040709533,0.010831076502250249,2591,1728,1.0,1.0,0.6136363636363636,1.0,1.0,1001
1.0,0.9408602150537635,0.9695290858725761,0.9836515961892027,0.9936416184971099,0.9083953394200533,0.01113491347012503,2593,1730,1.0,0.9672131147540983,0.3076923076923077,1.0,1.0,1002
0.9836956521739131,0.9427083333333334,0.9627659574468085,0.9877466926913903,0.9907460960092539,0.9302904213216152,0.011299768620129715,2593,1729,1.0,1.0,0.56,1.0,0.9696969696969697,1003
1.0,0.5416666666666666,0.7027027027027027,0.8818174653215637,0.9618497109826589,0.8438250634822593,0.01045647382600276,2593,1730,1.0,1.0,0.043478260869565216,1.0,1.0,1004
1.0,0.9461077844311377,0.9723076923076923,0.9857338494056089,0.9947916666666666,0.9298239501369491,0.01305040522041694,2592,1728,0.9642857142857143,1.0,0.42857142857142855,1.0,1.0,1005
1.0,0.9536423841059603,0.976271186440678,0.984091700254583,0.9959537572254336,0.9719814036063384,0.010372196652891512,2593,1730,0.972972972972973,0.9629629629629629,0.7647058823529411,1.0,1.0,1006
0.9870967741935484,0.85,0.9134328358208955,0.973115271501327,0.9832272990167727,0.9048220304927566,0.011397223840044794,2592,1729,0.9811320754716981,1.0,0.3157894736842105,1.0,1.0,1007
0.9882352941176471,0.7706422018348624,0.865979381443299,0.9230638461843589,0.9849537037037037,0.9212906192519926,0.01776666659612534,2590,1728,1.0,1.0,0.375,1.0,1.0,1008
0.9927007299270073,0.7472527472527473,0.8526645768025078,0.9405164693004279,0.9728009259259259,0.8600760215276263,0.011546643564644101,2592,1728,1.0,1.0,0.09803921568627451,1.0,1.0,1009
