feature,importance
value_std,0.011959876543209883
register_address_entropy,0.002430555555555521
inter_arrival_mean,0.0023148148148147917
n_unique_src,0.002314814814814777
inter_arrival_std,0.0022376543209876513
request_rate,0.0020061728395061634
n_unique_function_codes,0.0018132716049383084
response_time_p95,0.0017361111111111013
n_events,0.0013888888888889137
response_time_std,0.0012731481481481548
write_ratio,0.0011574074074074403
response_time_mean,0.0008873456790123561
duplicate_value_ratio,0.0006944444444444642
unauthorized_write_count,0.0005787037037037202
value_max_delta,-0.0010416666666666814
